Question,Answer
"Декан","Шашкин Александр Иванович"
Телефон деканата, 84732208266
"Шашкин Александр Иванович","доктор физико-математических наук, профессор, заведующий кафедрой математического и прикладного анализа, член президиума УМО классических университетов, академик International Academy of Refrigeration. Зам. председателя специализированного совета по защите кандидатских диссертаций (специальность – 01.02.04), член докторского совета (специальность – 01.02.04). Руководитель грантов РФФИ."
"Заместитель декана по научной работе","Задорожний Владимир Григорьевич"
"Задорожний Владимир Григорьевич","доктор физико-математических наук, профессор, Соросовский профессор, член Американского математического общества, заведующий кафедрой нелинейных колебаний"
"Заместитель декана по учебной работе (дневное отделение)","Лазарев Константин Петрович"
"Лазарев Константин Петрович","кандидат физико-математических наук, доцент кафедры вычислительной математики и прикладных информационных технологий"
"Заместитель декана по довузовской подготовке","Каширина Ирина Леонидовна"
"Какие существуют направления обучения на ПММ, пмм Факультет прикладной математики, информатики и механики","Направления обучения: Направления бакалавриата:Прикладная математика и информатика, Математическое обеспечение и администрирование информационных систем,Механика и математическое моделирование,Фундаментальные информатика и информационные технологии,Бизнес-информатика,Прикладная информатика. Направления магистратуры: Математическое обеспечение и администрирование информационных систем,Бизнес-информатика,Прикладная математика и информатика,Механика и математическое моделирование,Фундаментальные информатика и информационные технологии"
"Есть ли на Вашем факультете заочная форма обучения?","Добрый день! Есть в магистратуре по направлению Бизнес-информатика"
"В следующем году готовлюсь  поступать на ""бизнес-информатику"".Планируется ли создание бюджетных мест?И хотелось бы узнать проходные баллы на коммерческое отделение и  стоимость обучения за год.","Создание бюджетных мест пока не планируется, на это направление они не выделены. Проходных баллов как таковых нет, минимальное требование - перейти порог по требуемым ЕГЭ. Стоимость: 52000"
"Здравствуйте, скажите, пожалуйста, будет ли практика у первокурсников специальности Бизнес-информатика?","Здравствуйте. Нет, практика на этой специальности не предусмотрена."
"Здравствуйте! Подскажите, пожалуйста, где узнать информацию о том, какие документы нужны для поступления, и можно ли их отправить в электронном виде? Не нашла такого раздела","Здравствуйте! С подробным перечнем документов, необходимых для поступления, можно ознакомиться на сайте http://www.abitur.vsu.ru/, в разделе ""Поступление""."
"Здравствуйте. Скажите, пожалуйста, какой проходной балл на ПММ, если поступать не на бюджетное место?","Здравствуйте! Как такового проходного балла на коммерцию у нас нет, поэтому поступить на наш факультет на платной основе можно без проблем."
"Если я являюсь приозерном многочисленных международных олимпиад по математике, есть ли у меня шанс поступить на бюджет на направление ""бизнес-информатика""","Здравствуйте! На направлении ""Бизнес-информатика"" бюджетных мест пока не выделено."
"Здраствуйте, изменятся ли вступительные экзамены в этом году на ваш факультет?",Здравствуйте! Изменений в перечне вступительных экзаменов пока не планируется.
"Скажите пожалуйста, изучаются ли на данном факультете языки программирования, а если изучаются, то какие именно?","Обучение языкам программирования является приоритетным направлением в учебной программе нашего факультета. Изучаются такие языки как Паскаль, С#, С++ и другие."
"Когда в этом году состоится день открытых дверей на Вашем факультете?","Чаще всего День открытых дверей проводится весной, ближе всего к поступлению абитуриентов. В ближайшее время проведение такого мероприятия не планируется, но Вы можете отслеживать новости на сайте, где обязательно появится информация за некоторое время до самого события."
"Скажите, пожалуйста, а у вас есть специальность программист? Или где можно выучится на программиста?","На нашем факультет ведется обучение по направлениям, на которых готовят специалистов математико-информационного профиля, в том числе и программистов. В частности, на направлениях ""Математическое обеспечение и администрирование информационных систем"" и ""Фундаментальные информатика и информационные технологии"""
"В первом семестре выдают стипендию?","В первом семестре все студенты-бюджетники получают стипендию. В последующих семестрах стипендию выдают только тем, кто закроет сессию без долгов и троек.Студенты-отличники получают повышенную стипендию."
"Где находится второй отдел?","На третьем этаже, после главной лестницы налево"
"Как будет проходить распределение по кафедрам на ПМИ?","Распределение по кафедрам проходит после второго курса по результатам первых трёх экзаменационных сессий. Конкурс похож на конкурс при поступлении: рассчитывается сумма баллов за экзамены, выставляются приоритеты. Студенты, которые учатся по договору, зачисляются на желаемую кафедру вне конкурса."
"Зачем нужен второй отдел?","Во втором отделе нужно взять справку для военкомата, чтобы тебе дали отсрочку и не забрали служить Родине."
"Как получить справку, что я учусь на ПММ?", "Нужно подойти со студенческим билетом в деканат и обратиться к секретарю."
"Расписание первого семестра?", "его нет"